SKU                       物料名称                            单个SKU拣选时间(秒)
13036669:A01              电磁执行器                                 11.676
1007094936:A01            取气管总成                                 11.670
1002264363:A01            风扇连接盘                                 11.643
1000932150:A01            气门杆密封套                                11.639
1001332419:A01            燃油回油管总成                               11.634
AZ1560130064:A01          喷油泵齿轮                                 11.629
1003435005:A01            燃油进油管总成                               11.617
612630030151:A01          中间齿轮轴                                 11.604
1000371825:A01            中间齿轮盖板                                11.577
1014056028:A01            冷却液连接胶管                               11.561
1001767462:A01            增压器润滑油管总成                             11.540
1003949427:A01            进气接管                                  11.528
1001239744:A01            燃油进油管总成                               11.520
612600083693:A01          燃油进油管总成                               11.497
1010924541:A01            发动机吊板                                 11.497
13054661:A01              堵盖                                    11.495
1004662624:A01            水管接头                                  11.476
1000078666:A01            燃油进油管总成                               11.471
611600020003:A01          曲轴齿轮                                  11.462
612600110912:A01          进气接管                                  11.430
1003616397:A01            发动机支架                                 11.422
1006018415:A01            进气接管                                  11.414
1003107442:A01            气路连接胶管                                11.376
1006099155:A01            增压器润滑油管总成                             11.371
1004662619:A01            出水管垫片                                 11.346
612600060456:A01          水泵加黄油装置                               11.327
612600082188:A01          燃油进油管                                 11.288
1001782629:A01            燃油回油管                                 11.261
1005390731:A01            油路连接胶管                                11.260
1007001071:A01            曲轴正时齿轮                                11.256
1006101234:A01            增压器润滑油管总成                             11.256
13036683:A01              喷油泵支架                                 11.240
1001136254:A01            喷油泵法兰                                 11.234
612600140119:A01          节温器体                                  11.224
13071221:A01              燃油回油管                                 11.219
612630030125:A01          中间齿轮轴                                 11.183
13052406:A01              油门软轴支架                                11.178
1001252078:A01            燃油滤清器支架                               11.175
612640060123:A01          支架                                    11.167
1006432097:A01            风扇连接盘                                 11.134
1000743658:A01            燃油进油管总成                               11.123
1000702849:A01            燃油回油管                                 11.119
13039292:A01              集滤器组件                                 11.119
612600061035:A01          风扇连接盘                                 11.085
13033646:A01              中冷器端盖                                 11.071
615Q0170023:A01           内花键                                   11.058
1007474838:A01            油路连接胶管                                11.045
13039973:A01              燃油进油管                                 11.039
1000700889:A01            机油冷却器盖垫片                              11.008
612600090935:A01          空调压缩机支架                               11.004
610800060186:A01          法兰                                    11.002
1001391501:A01            轴承盖                                   10.982
1002753396:A01            水管接头                                  10.970
13062728:A01              前端盖盖板                                 10.963
612600082058:A01          喷油泵齿轮                                 10.957
13024860:A01              燃油回油管总成                               10.936
1001249648:A01            燃油进油管总成                               10.924
13034655:A01              停车电磁铁                                 10.911
1001233017:A01            燃油进油管总成                               10.891
1003938238:A01            油路连接胶管                                10.889
13021191:A01              冷却液连接胶管                               10.878
1002055842:A01            水泵水管                                  10.877
13057165:A01              泄油泵                                   10.851
13034610:A01              油门软轴支架                                10.839
612600081631:A01          管夹总成                                  10.822
1012042613:A01            发动机吊板                                 10.815
1001932683:A01            二号线束                                  10.790
1000020537:A01            喷油泵齿轮                                 10.779
612600050891:A01          螺栓                                    10.766
612600080808:A01          管夹总成                                  10.732
13071720:A01              机油泵吸油管                                10.730
612600080486:A01          喷油泵法兰                                 10.729
1003420175:A01            燃油回油管总成                               10.686
610800140004:A01          管接头                                   10.671
1012176176:A01            水管接头                                  10.663
1011138277:A01            铭牌                                    10.657
1000943944:A01            增压器润滑油管                               10.644
1000941064:A01            机油泵吸油管                                10.635
13022339:A01              前端盖盖板                                 10.623
1000848251:A01            主轴承加强板                                10.608
1011669134:A01            水泵水管                                  10.606
1002138396:A01            燃油滤清器支架                               10.596
1001169649:A01            燃油进油管总成                               10.596
1001576787:A01            发动机吊板                                 10.595
13071988:A01              高压油管总成                                10.594
13055325:A01              燃油进油管                                 10.585
1001871674:A01            中间齿轮总成                                10.577
1002393551:A01            排气管支架                                 10.543
612600113357:A01          空滤器支架                                 10.503
13050243:A01              垫块                                    10.488
612640010004:A01          水管接头                                  10.466
1002514365:A01            热交换器支架                                10.456
612700030002:A01          凸轮轴正时齿轮                               10.449
13054924:A01              油门软轴支架                                10.445
13036333:A01              水管                                    10.445
612600061809:A01          张紧轮支架总成                               10.424
612600114086:A01          空滤器支架                                 10.423
1001781105:A01            风扇连接盘                                 10.422
612600080872:A01          喷油泵齿轮                                 10.420
1001580490:A01            燃油滤清器支架                               10.419
610800130157:A01          空压机盖板                                 10.418
1001007990:A01            温度传感器                                 10.415
1004428148:A01            油路连接胶管                                10.405
1003129841:A01            水管支架                                  10.381
1005490285:A01            后取力润滑油管总成                             10.380
1007976844:A01            支撑块                                   10.376
1000380713:A01            管接头                                   10.368
615Q0170004:A01           曲轴齿轮                                  10.360
1002040064:A01            张紧轮支架                                 10.360
1005419218:A01            线束支架                                  10.349
1001529658:A01            中间齿轮总成                                10.347
13033650:A01              气路连接胶管                                10.335
1003353684:A01            燃油进油管总成                               10.330
612600012921:A01          张紧轮支架                                 10.282
1002713017:A01            冒烟限制器空气管总成                            10.277
1012151335:A01            管夹总成                                  10.274
1005418318:A01            水管支架                                  10.274
610800060641:A01          风扇连接盘                                 10.270
1001364025:A01            喷油泵法兰                                 10.270
610800110464:A01          增压器润滑油管总成                             10.261
612600111086:A01          气路连接胶管                                10.260
1002929173:A01            空滤器支架                                 10.260
